Bucket 8 (8):
2,7,2,6,2,4,2,5,2,8,8 [Linha: 4897]
Suporte: 0.0001

Bucket 6 (6):
1,9,3,8,2,8,4,9,3,9,6 [Linha: 844]
2,11,1,5,3,11,2,5,4,5,6 [Linha: 2270]
1,12,1,6,3,6,3,12,4,12,6 [Linha: 2528]
2,6,4,8,1,6,3,6,1,8,6 [Linha: 3207]
4,11,2,3,3,11,3,3,1,11,6 [Linha: 4663]
4,6,2,6,4,5,3,5,2,5,6 [Linha: 6273]
2,2,1,2,4,7,3,7,4,2,6 [Linha: 6854]
3,8,1,8,1,3,2,3,3,3,6 [Linha: 7152]
3,4,4,4,4,13,2,4,2,13,6 [Linha: 7261]
1,4,4,9,4,4,2,9,1,9,6 [Linha: 7272]
Suporte: 0.001

Bucket 7 (7):
1,2,4,1,4,2,3,2,2,2,7 [Linha: 538]
4,2,3,2,2,7,1,2,2,2,7 [Linha: 1788]
2,10,2,3,3,3,4,3,1,3,7 [Linha: 3111]
Suporte: 0.0003

Bucket 5 (5):
1,5,1,3,1,1,1,8,1,4,5 [Linha: 138]
2,1,2,4,2,3,2,13,2,5,5 [Linha: 357]
3,9,3,5,3,8,3,4,3,12,5 [Linha: 1351]
4,3,4,5,4,12,4,2,4,11,5 [Linha: 1520]
1,11,1,7,1,10,1,4,1,9,5 [Linha: 1566]
1,10,1,12,1,3,1,6,1,1,5 [Linha: 1830]
4,10,4,12,4,11,4,2,4,4,5 [Linha: 2029]
1,13,1,10,1,6,1,5,1,11,5 [Linha: 2173]
1,1,1,7,1,5,1,13,1,11,5 [Linha: 3062]
4,2,4,4,4,11,4,10,4,6,5 [Linha: 3421]
1,11,1,12,1,9,1,4,1,3,5 [Linha: 3587]
2,8,2,5,2,11,2,6,2,1,5 [Linha: 4737]
2,4,2,13,2,11,2,6,2,1,5 [Linha: 4877]
4,2,4,13,4,8,4,12,4,7,5 [Linha: 4883]
4,9,4,11,4,13,4,5,4,8,5 [Linha: 4909]
4,13,4,7,4,10,4,6,4,8,5 [Linha: 4933]
4,7,4,2,4,9,4,3,4,6,5 [Linha: 6459]
1,8,1,10,1,6,1,2,1,12,5 [Linha: 6581]
4,12,4,13,4,5,4,11,4,7,5 [Linha: 7381]
4,12,4,5,4,9,4,8,4,2,5 [Linha: 7398]
1,9,1,5,1,10,1,11,1,3,5 [Linha: 8108]
2,8,2,5,2,10,2,1,2,11,5 [Linha: 8180]
2,6,2,12,2,4,2,13,2,1,5 [Linha: 8210]
4,4,4,6,4,3,4,11,4,10,5 [Linha: 8762]
Suporte: 0.0024

Bucket 3 (3):
4,3,3,8,1,8,2,8,1,13,3 [Linha: 41]
4,2,2,7,1,2,3,2,3,8,3 [Linha: 113]
3,5,1,5,4,5,4,2,4,11,3 [Linha: 123]
1,7,3,9,4,7,2,7,1,6,3 [Linha: 213]
2,11,4,8,3,2,2,2,1,2,3 [Linha: 242]
3,11,1,7,4,7,3,13,2,7,3 [Linha: 244]
4,8,1,6,1,7,4,6,3,6,3 [Linha: 282]
1,1,4,1,4,11,2,1,3,6,3 [Linha: 430]
3,3,3,5,4,5,2,5,2,7,3 [Linha: 493]
1,7,1,3,3,3,4,3,4,12,3 [Linha: 655]
4,12,2,7,1,7,2,1,4,7,3 [Linha: 668]
3,8,3,7,2,13,1,7,2,7,3 [Linha: 674]
