Linha 1, Classe = 0
Linha 2, Classe = 0
Linha 125, Classe = 1
Linha 187, Classe = 1
Linha 188, Classe = 1
Linha 249, Classe = 1
Linha 435, Classe = 0
Linha 497, Classe = 1
Linha 559, Classe = 0
Linha 63, Classe = 0
Linha 621, Classe = 0
Linha 373, Classe = 1
Linha 869, Classe = 1
Linha 870, Classe = 1
Linha 745, Classe = 1
Linha 931, Classe = 0
Linha 3, Classe = 0
Linha 807, Classe = 1
Linha 126, Classe = 1
Linha 311, Classe = 1
Linha 189, Classe = 1
Linha 250, Classe = 0
Linha 190, Classe = 0
Linha 498, Classe = 1
Linha 560, Classe = 1
Linha 64, Classe = 0
Linha 622, Classe = 0
Linha 374, Classe = 0
Linha 683, Classe = 0
Linha 871, Classe = 0
Linha 746, Classe = 0
Linha 932, Classe = 0
Linha 4, Classe = 1
Linha 808, Classe = 0
Linha 127, Classe = 0
Linha 312, Classe = 0
Linha 436, Classe = 1
Linha 251, Classe = 0
Linha 191, Classe = 1
Linha 499, Classe = 1
Linha 192, Classe = 0
Linha 65, Classe = 1
Linha 623, Classe = 0
Linha 375, Classe = 0
Linha 684, Classe = 1
Linha 872, Classe = 1
Linha 747, Classe = 1
Linha 933, Classe = 0
Linha 5, Classe = 0
Linha 809, Classe = 0
Linha 128, Classe = 1
Linha 313, Classe = 1
Linha 437, Classe = 0
Linha 252, Classe = 1
Linha 561, Classe = 1
Linha 253, Classe = 0
Linha 193, Classe = 0
Linha 66, Classe = 1
Linha 624, Classe = 0
Linha 376, Classe = 1
Linha 685, Classe = 0
Linha 873, Classe = 0
Linha 748, Classe = 0
Linha 934, Classe = 1
Linha 6, Classe = 1
Linha 810, Classe = 1
Linha 129, Classe = 0
Linha 314, Classe = 0
Linha 438, Classe = 1
Linha 500, Classe = 0
Linha 562, Classe = 1
Linha 254, Classe = 1
Linha 194, Classe = 1
Linha 255, Classe = 1
Linha 195, Classe = 1
Linha 377, Classe = 0
Linha 686, Classe = 0
Linha 874, Classe = 0
Linha 749, Classe = 1
Linha 935, Classe = 1
Linha 7, Classe = 0
Linha 811, Classe = 1
Linha 130, Classe = 0
Linha 315, Classe = 1
Linha 439, Classe = 1
Linha 501, Classe = 1
Linha 563, Classe = 0
Linha 67, Classe = 1
Linha 625, Classe = 0
Linha 256, Classe = 1
Linha 196, Classe = 0
Linha 378, Classe = 1
Linha 687, Classe = 1
Linha 379, Classe = 1
Linha 875, Classe = 1
Linha 936, Classe = 1
Linha 8, Classe = 1
Linha 812, Classe = 1
Linha 131, Classe = 0
Linha 813, Classe = 0
Linha 440, Classe = 0
Linha 564, Classe = 1
Linha 502, Classe = 1
Linha 68, Classe = 1
Linha 626, Classe = 1
Linha 257, Classe = 0
Linha 197, Classe = 0
Linha 750, Classe = 0
Linha 198, Classe = 0
Linha 380, Classe = 0
Linha 876, Classe = 0
Linha 937, Classe = 0
Linha 9, Classe = 0
Linha 316, Classe = 1
Linha 132, Classe = 0
Linha 814, Classe = 0
Linha 441, Classe = 1
Linha 565, Classe = 1
Linha 503, Classe = 0
Linha 69, Classe = 0
Linha 627, Classe = 1
